"","colour","fill","y","binwidth","count","ncount","x","PANEL","group","width","countidx","stackpos","ymin","ymax","xmin","xmax","alpha","stroke","linetype","weight"
"50","#21908CFF","#21908CFF",0.0854198670854863,0.02,3,1,6,"1",17,0.9,2,0,0.0754198670854863,0.0954198670854863,5.85,6.15,NA,1,"solid",1
"51","#21908CFF","#21908CFF",0.0854198670854863,0.02,3,1,6,"1",17,0.9,3,1,0.0754198670854863,0.0954198670854863,5.85,6.15,NA,1,"solid",1
"52","#CC9900","#CC9900",0.101418443310473,0.02,3,1,6.26666666666667,"1",18,0.9,1,-1,0.0914184433104726,0.111418443310473,6.11666666666667,6.41666666666667,NA,1,"solid",1
"53","#CC9900","#CC9900",0.101418443310473,0.02,3,1,6.26666666666667,"1",18,0.9,2,0,0.0914184433104726,0.111418443310473,6.11666666666667,6.41666666666667,NA,1,"solid",1
"54","#CC9900","#CC9900",0.101418443310473,0.02,3,1,6.26666666666667,"1",18,0.9,3,1,0.0914184433104726,0.111418443310473,6.11666666666667,6.41666666666667,NA,1,"solid",1
"55","#440154FF","#440154FF",0.0608421695781771,0.02,1,0.5,6.73333333333333,"1",19,0.9,1,0,0.0508421695781771,0.14279352308055,6.58333333333333,6.88333333333333,NA,1,"solid",1
"56","#440154FF","#440154FF",0.13279352308055,0.02,2,1,6.73333333333333,"1",19,0.9,1,-0.5,0.0508421695781771,0.14279352308055,6.58333333333333,6.88333333333333,NA,1,"solid",1
"57","#440154FF","#440154FF",0.13279352308055,0.02,2,1,6.73333333333333,"1",19,0.9,2,0.5,0.0508421695781771,0.14279352308055,6.58333333333333,6.88333333333333,NA,1,"solid",1
"58","#21908CFF","#21908CFF",0.0728049607231443,0.02,2,1,7,"1",20,0.9,1,-0.5,0.0628049607231443,0.116858651181765,6.85,7.15,NA,1,"solid",1
"59","#21908CFF","#21908CFF",0.0728049607231443,0.02,2,1,7,"1",20,0.9,2,0.5,0.0628049607231443,0.116858651181765,6.85,7.15,NA,1,"solid",1
"60","#21908CFF","#21908CFF",0.106858651181765,0.02,1,0.5,7,"1",20,0.9,1,0,0.0628049607231443,0.116858651181765,6.85,7.15,NA,1,"solid",1
"61","#CC9900","#CC9900",0.0674925689956767,0.02,1,1,7.26666666666667,"1",21,0.9,1,0,0.0574925689956767,0.149162125442354,7.11666666666667,7.41666666666667,NA,1,"solid",1
"62","#CC9900","#CC9900",0.118072882593874,0.02,1,1,7.26666666666667,"1",21,0.9,1,0,0.0574925689956767,0.149162125442354,7.11666666666667,7.41666666666667,NA,1,"solid",1
"63","#CC9900","#CC9900",0.139162125442354,0.02,1,1,7.26666666666667,"1",21,0.9,1,0,0.0574925689956767,0.149162125442354,7.11666666666667,7.41666666666667,NA,1,"solid",1
