"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Ifi35",0.000148976078362155,3.02403439983894e-06,939,676,2.77258872223978,0,0,2.77258872223978,16,879,1000,15.1726458040363,14.2031476695931,16.1583022407202,TRUE,TRUE,TRUE,FALSE,TRUE
"Layn",0.000148963911742263,2.34657431195893e-06,949,699,2.77258872223978,0,0,2.77258872223978,16,889,1010,15.3342288264435,14.3647306920003,16.3198852631274,TRUE,TRUE,TRUE,FALSE,TRUE
"Rtp4",0.000148417025033546,2.09260092814393e-06,932,471,2.77258872223978,0,0,2.77258872223978,16,873,992,15.0595376883513,14.1061978561488,16.0290358227945,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc16a9",0.000147317520947791,2.09495334540696e-06,861,398,2.77258872223978,0,0,2.77258872223978,16,804,919,13.9122982292601,12.9912750015391,14.8494797592219,TRUE,TRUE,TRUE,FALSE,TRUE
"Ushbp1",0.000151481185038034,6.53477854942621e-07,971,191,2.77258872223978,0,0,2.77258872223978,16,910,1033,15.6897114757394,14.7040550390554,16.691526214664,TRUE,TRUE,TRUE,FALSE,TRUE
"Ddc",0.000300499474047247,7.18372712326811e-06,1733,1447,3.43398720448515,0.693147180559945,0,2.7408400239252,15.5,1652,1815,28.0023377831682,26.6935153016698,29.3273185669072,TRUE,TRUE,TRUE,FALSE,TRUE
"Il10rb",0.000300907811815497,7.76490358310302e-06,1762,1708,3.43398720448515,0.693147180559945,0,2.7408400239252,15.5,1680,1845,28.4709285481491,27.14594776441,29.8120676341289,TRUE,TRUE,TRUE,FALSE,TRUE
"Ocln",0.000300304065973541,7.92545487027106e-06,1865,2135,3.43398720448515,0.693147180559945,0,2.7408400239252,15.5,1781,1950,30.1352336789433,28.7779362907228,31.5086893694045,TRUE,TRUE,TRUE,FALSE,TRUE
"Gbp7",0.000293756000719111,9.75175547822904e-06,1909,1520,3.40119738166216,0.693147180559945,0,2.70805020110221,15,1824,1995,30.8461989775349,29.4727432870737,32.2358129702369,TRUE,TRUE,TRUE,FALSE,TRUE
"Mecom",0.000141079710616111,8.08550204604938e-07,951,189,2.70805020110221,0,0,2.70805020110221,15,891,1012,15.366545430925,14.3970472964817,16.3522018676089,TRUE,TRUE,TRUE,FALSE,TRUE
"Notum",0.000137526595314434,1.30352556138697e-06,813,202,2.70805020110221,0,0,2.70805020110221,15,758,869,13.1366997217056,12.2479930984659,14.0415646471859,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem252",0.00014312910030026,4.03276880804217e-07,1126,73,2.70805020110221,0,0,2.70805020110221,15,1061,1192,18.194248323051,17.1439586774042,19.2606962709385,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem88",0.000138103494485707,4.65370881960027e-06,893,1334,2.70805020110221,0,0,2.70805020110221,15,835,952,14.4293639009632,13.4921823710014,15.3827037331657,TRUE,TRUE,TRUE,FALSE,TRUE
"Xdh",0.000140002096437042,4.10269898905504e-07,892,129,2.70805020110221,0,0,2.70805020110221,15,834,951,14.4132055987225,13.4760240687607,15.366545430925,TRUE,TRUE,TRUE,FALSE,TRUE
"Adcy4",0.000126342206679423,5.88865266467778e-07,891,124,2.63905732961526,0,0,2.63905732961526,14,833,950,14.3970472964817,13.45986576652,15.3503871286842,TRUE,TRUE,TRUE,FALSE,TRUE
"Csrp2",0.000271963771508623,1.03339250263741e-05,1634,2641,3.3322045101752,0.693147180559945,0,2.63905732961526,14,1555,1714,26.4026658613369,25.12615998432,27.6953300405945,TRUE,TRUE,TRUE,FALSE,TRUE
"Gch1",0.000129806279763288,1.68922800489595e-06,794,469,2.63905732961526,0,0,2.63905732961526,14,739,850,12.8296919791319,11.9409853558923,13.7345569046122,TRUE,TRUE,TRUE,FALSE,TRUE
"Gpr4",0.000127480116087645,1.47746202641067e-06,800,286,2.63905732961526,0,0,2.63905732961526,14,745,856,12.9266417925762,12.0379351693366,13.8315067180565,TRUE,TRUE,TRUE,FALSE,TRUE
"Ifit1",0.000134032898523742,2.12662839834727e-06,874,462,2.63905732961526,0,0,2.63905732961526,14,817,932,14.1223561583895,13.2013329306684,15.0595376883513,TRUE,TRUE,TRUE,FALSE,TRUE
"Lcn2",0.000127332375486889,2.47916624997712e-07,2070,72,2.63905732961526,0,0,2.63905732961526,14,1981,2160,33.4476856382909,32.0095967388668,34.9019328399557,TRUE,TRUE,TRUE,FALSE,TRUE
"Lims2",0.000268459733599575,1.18526539994143e-05,1695,2138,3.3322045101752,0.693147180559945,0,2.63905732961526,14,1615,1776,27.3883222980208,26.0956581187632,28.6971447795192,TRUE,TRUE,TRUE,FALSE,TRUE
"Rsad2",0.000125563603819513,1.60511923335835e-06,722,391,2.63905732961526,0,0,2.63905732961526,14,670,775,11.6662942178,10.8260625012826,12.5226842365582,TRUE,TRUE,TRUE,FALSE,TRUE
"Sox18",0.000132662703549019,1.29321205171404e-06,896,347,2.63905732961526,0,0,2.63905732961526,14,838,955,14.4778388076853,13.5406572777236,15.4311786398878,TRUE,TRUE,TRUE,FALSE,TRUE
"Ucp2",0.000128577435130877,2.37250996449293e-06,802,506,2.63905732961526,0,0,2.63905732961526,14,747,858,12.9589583970576,12.070251773818,13.863823322538,TRUE,TRUE,TRUE,FALSE,TRUE
"Wwtr1",0.000265084565647768,1.11191107161081e-05,1677,2201,3.3322045101752,0.693147180559945,0,2.63905732961526,14,1597,1758,27.0974728576879,25.8048086784302,28.4062953391862,TRUE,TRUE,TRUE,FALSE,TRUE
"Hmgcs2",0.00025947055728703,6.53084950305654e-06,1563,1181,3.29583686600433,0.693147180559945,0,2.60268968544438,13.5,1486,1641,25.2554264022457,24.0112371297103,26.5157739770219,TRUE,TRUE,TRUE,FALSE,TRUE
"8430408G22Rik",0.000121700056588708,1.45588897523656e-07,782,54,2.56494935746154,0,0,2.56494935746154,13,728,837,12.6357923522432,11.7632440312443,13.5244989754828,TRUE,TRUE,TRUE,FALSE,TRUE
"Ecm1",0.000118320990759509,4.58872229519374e-06,767,876,2.56494935746154,0,0,2.56494935746154,13,713,822,12.3934178186324,11.5208694976335,13.282124441872,TRUE,TRUE,TRUE,FALSE,TRUE
"Fgd5",0.000123077479916608,1.77770375501034e-06,792,449,2.56494935746154,0,0,2.56494935746154,13,737,848,12.7973753746504,11.9086687514108,13.7022403001308,TRUE,TRUE,TRUE,FALSE,TRUE
"Gimap1",0.000120945421230806,6.4757340392042e-07,831,121,2.56494935746154,0,0,2.56494935746154,13,775,888,13.4275491620385,12.5226842365582,14.3485723897596,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm9946",0.000121562699902433,3.56096624036825e-07,728,74,2.56494935746154,0,0,2.56494935746154,13,676,781,11.7632440312443,10.9230123147269,12.6196340500025,TRUE,TRUE,TRUE,FALSE,TRUE
"Ifih1",0.000115747198002362,4.37872925267676e-06,760,923,2.56494935746154,0,0,2.56494935746154,13,706,814,12.2803097029474,11.4077613819485,13.1528580239463,TRUE,TRUE,TRUE,FALSE,TRUE
"Ly6c2",0.000122566038000709,5.13981302176181e-07,781,76,2.56494935746154,0,0,2.56494935746154,13,727,836,12.6196340500025,11.7470857290036,13.5083406732421,TRUE,TRUE,TRUE,FALSE,TRUE
"Parvb",0.000245495768206001,1.17907129248494e-05,1532,3208,3.25809653802148,0.693147180559945,0,2.56494935746154,13,1456,1609,24.7545190327834,23.5264880624887,25.9987083053189,TRUE,TRUE,TRUE,FALSE,TRUE
"Pdgfb",0.000254384461078904,1.47339244301206e-05,1596,4945,3.25809653802148,0.693147180559945,0,2.56494935746154,13,1518,1675,25.7886503761895,24.5283028014133,27.0651562532064,TRUE,TRUE,TRUE,FALSE,TRUE
"Serpinb6b",0.000116076095822821,1.0595977746582e-06,718,277,2.56494935746154,0,0,2.56494935746154,13,666,771,11.6016610088371,10.7614292923197,12.4580510275953,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc19a3",0.000122220439500118,3.95431912723978e-07,725,93,2.56494935746154,0,0,2.56494935746154,13,673,778,11.7147691245222,10.8745374080047,12.5711591432804,TRUE,TRUE,TRUE,FALSE,TRUE
"Tbc1d4",0.000251218824247579,5.97583327474056e-06,1573,1642,3.25809653802148,0.693147180559945,0,2.56494935746154,13,1496,1651,25.4170094246529,24.1728201521175,26.6773569994291,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem123",0.000254744698951571,1.199001630041e-05,1536,2548,3.25809653802148,0.693147180559945,0,2.56494935746154,13,1460,1613,24.8191522417463,23.5911212714516,26.0633415142818,TRUE,TRUE,TRUE,FALSE,TRUE
"Apold1",0.00024104469491519,9.37155328114647e-06,1517,1557,3.2188758248682,0.693147180559945,0,2.52572864430826,12.5,1441,1594,24.5121444991726,23.2841135288779,25.7563337717081,TRUE,TRUE,TRUE,FALSE,TRUE
"Ier3",0.000238697178898417,6.62040634087706e-06,1597,1462,3.2188758248682,0.693147180559945,0,2.52572864430826,12.5,1519,1676,25.8048086784302,24.5444611036541,27.0813145554471,TRUE,TRUE,TRUE,FALSE,TRUE
"Itga1",0.000241669487306875,9.95859069474899e-06,1525,1342,3.2188758248682,0.693147180559945,0,2.52572864430826,12.5,1449,1602,24.6414109170984,23.4133799468036,25.8856001896338,TRUE,TRUE,TRUE,FALSE,TRUE
