"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Pou3f2",0.000194904738863309,1.43145180345115e-05,4680,2987,2.99573227355399,0.693147180559945,0,2.30258509299405,10,4546,4815,18.7481424616864,18.2113366732535,19.2889542634658,TRUE,TRUE,TRUE,FALSE,TRUE
"Gabrg1",0.000183117205892979,8.02336547283454e-06,4667,1873,2.94443897916644,0.693147180559945,0,2.25129179860649,9.5,4534,4801,18.6960642881817,18.1632645130953,19.2328700766146,TRUE,TRUE,TRUE,FALSE,TRUE
"Lfng",0.000178167205346398,6.51658616353846e-06,4052,1080,2.94443897916644,0.693147180559945,0,2.25129179860649,9.5,3928,4177,16.2323660800755,15.7356204251077,16.7331177483898,TRUE,TRUE,TRUE,FALSE,TRUE
"Cml1",0.000166975050990049,1.35865497070434e-05,4322,3191,2.89037175789616,0.693147180559945,0,2.19722457733622,9,4194,4451,17.3139896836343,16.8012199752805,17.8307654053346,TRUE,TRUE,TRUE,FALSE,TRUE
"Mmp14",0.000174164393436508,1.28825352614206e-05,4126,1814,2.89037175789616,0.693147180559945,0,2.19722457733622,9,4001,4252,16.5288110677175,16.0280593994033,17.0335687493783,TRUE,TRUE,TRUE,FALSE,TRUE
"Rftn2",0.000170814212635287,9.82070699185601e-06,4619,1433,2.89037175789616,0.693147180559945,0,2.19722457733622,9,4486,4753,18.503775647549,17.9709758724626,19.0405814359819,TRUE,TRUE,TRUE,FALSE,TRUE
"Cyp2d22",0.000155473361871307,6.28768992289477e-06,3911,1078,2.83321334405622,0.693147180559945,0,2.14006616349627,8.5,3789,4034,15.667518198217,15.1787845699422,16.1602578398382,TRUE,TRUE,TRUE,FALSE,TRUE
"Rbp1",0.000161521864492491,1.2802551012427e-05,4589,2596,2.83321334405622,0.693147180559945,0,2.14006616349627,8.5,4457,4722,18.3835952471536,17.8548014854137,18.91639502224,TRUE,TRUE,TRUE,FALSE,TRUE
"Acaa2",0.000143850676311599,1.40900881778599e-05,3931,2933,2.70805020110221,0.693147180559945,0,2.01490302054226,7.5,3809,4054,15.7476384651473,15.2589048368725,16.2403781067685,TRUE,TRUE,TRUE,FALSE,TRUE
"Acss1",0.000140819200060867,6.68458541785498e-06,3532,1529,2.70805020110221,0.693147180559945,0,2.01490302054226,7.5,3416,3649,14.1492391398881,13.6845415916925,14.6179427014303,TRUE,TRUE,TRUE,FALSE,TRUE
"Nrarp",0.00013720440180812,9.43983649426009e-06,3557,1516,2.70805020110221,0.693147180559945,0,2.01490302054226,7.5,3441,3674,14.249389473551,13.7846919253553,14.7180930350931,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem176a",0.00013531740606398,1.38150457264818e-05,3638,1932,2.70805020110221,0.693147180559945,0,2.01490302054226,7.5,3520,3757,14.5738765546186,14.1011669797299,15.0505921428538,TRUE,TRUE,TRUE,FALSE,TRUE
"1190005I06Rik",0.000130396407145238,7.28351636835278e-06,3474,1504,2.63905732961526,0.693147180559945,0,1.94591014905531,7,3359,3590,13.9168903657903,13.4561988309411,14.3815879139859,TRUE,TRUE,TRUE,FALSE,TRUE
"Ctso",0.00013242409945928,1.25843813969442e-05,3463,2427,2.63905732961526,0.693147180559945,0,1.94591014905531,7,3348,3579,13.8728242189786,13.4121326841295,14.3375217671743,TRUE,TRUE,TRUE,FALSE,TRUE
"Decr1",0.000126367625385348,1.10903791228495e-05,3407,1960,2.63905732961526,0.693147180559945,0,1.94591014905531,7,3293,3522,13.6484874715738,13.1918019500712,14.109179006423,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm973",0.000126454651824481,1.23386738118546e-05,3170,3354,2.63905732961526,0.693147180559945,0,1.94591014905531,7,3060,3281,12.69906230845,12.2584008403334,13.143729789913,TRUE,TRUE,TRUE,FALSE,TRUE
"Prelp",0.000131562229390537,1.1559484495475e-05,3377,2038,2.63905732961526,0.693147180559945,0,1.94591014905531,7,3264,3491,13.5283070711784,13.0756275630223,13.984992592681,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc7a2",0.000127866205001343,5.63349875064606e-06,3299,1010,2.63905732961526,0.693147180559945,0,1.94591014905531,7,3187,3412,13.2158380301503,12.7671645353407,13.6685175383064,TRUE,TRUE,TRUE,FALSE,TRUE
"Sox21",0.000127238128746398,5.07537537805142e-06,3289,710,2.63905732961526,0.693147180559945,0,1.94591014905531,7,3177,3402,13.1757778966852,12.7271044018756,13.6284574048413,TRUE,TRUE,TRUE,FALSE,TRUE
"Aldh1a1",0.000117831670341575,1.28647113796782e-05,3523,2205,2.56494935746154,0.693147180559945,0,1.87180217690159,6.5,3407,3640,14.1131850197695,13.6484874715738,14.5818885813116,TRUE,TRUE,TRUE,FALSE,TRUE
"Cbr3",0.000118955633991331,9.41522177509858e-06,3201,2510,2.56494935746154,0.693147180559945,0,1.87180217690159,6.5,3091,3312,12.8232487221919,12.3825872540753,13.267916203655,TRUE,TRUE,TRUE,FALSE,TRUE
"Hspb8",0.000118590713271856,6.89318610285501e-06,3298,1420,2.56494935746154,0.693147180559945,0,1.87180217690159,6.5,3186,3411,13.2118320168038,12.7631585219942,13.6645115249599,TRUE,TRUE,TRUE,FALSE,TRUE
"Igdcc4",0.000120975267790354,9.16015041377785e-06,3040,2272,2.56494935746154,0.693147180559945,0,1.87180217690159,6.5,2932,3149,12.1782805734031,11.7456311319796,12.6149360281732,TRUE,TRUE,TRUE,FALSE,TRUE
"Klf15",0.000118400556110989,1.20269976899832e-05,2912,2772,2.56494935746154,0.693147180559945,0,1.87180217690159,6.5,2807,3018,11.6655108650493,11.2448794636653,12.0901482797798,TRUE,TRUE,TRUE,FALSE,TRUE
"Lpar4",0.000115496192745971,1.27271604758615e-05,2768,2662,2.56494935746154,0.693147180559945,0,1.87180217690159,6.5,2665,2872,11.0886449431513,10.6760255684603,11.5052703311887,TRUE,TRUE,TRUE,FALSE,TRUE
"Pacrg",0.000123551984655739,1.24965695112584e-05,3354,3689,2.56494935746154,0.693147180559945,0,1.87180217690159,6.5,3241,3468,13.4361687642086,12.9834892560525,13.8928542857112,TRUE,TRUE,TRUE,FALSE,TRUE
"Rgma",0.000118492549420574,1.43725049738693e-05,2847,3033,2.56494935746154,0.693147180559945,0,1.87180217690159,6.5,2743,2952,11.4051199975259,10.9884946094884,11.8257513989099,TRUE,TRUE,TRUE,FALSE,TRUE
"Scd1",0.00012135744065873,1.26879743064235e-05,3336,2597,2.56494935746154,0.693147180559945,0,1.87180217690159,6.5,3223,3450,13.3640605239713,12.9113810158152,13.8207460454739,TRUE,TRUE,TRUE,FALSE,TRUE
"Zfyve21",0.000117219673419597,1.28652214756865e-05,3105,2628,2.56494935746154,0.693147180559945,0,1.87180217690159,6.5,2996,3215,12.4386714409265,12.0020159861565,12.8793329090431,TRUE,TRUE,TRUE,FALSE,TRUE
