"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Vmp1",2.7797251694209e-29,-0.161656972896131,0.402,0.438,8.83674631358904e-25,"Vmp1"
"Pak1",3.85393142414293e-29,-0.17049788143019,0.294,0.331,1.22516479973504e-24,"Pak1"
"Ninj2",5.34629813335556e-29,-0.176573195381056,0.072,0.099,1.69958817659373e-24,"Ninj2"
"Gpr34",5.46085299728293e-29,0.148115641555215,0.044,0.027,1.73600516783624e-24,"Gpr34"
"Sirpa",9.51322206847725e-29,0.19279865055385,0.187,0.151,3.02425329556892e-24,"Sirpa"
"6530403H02Rik",9.7725258835379e-29,0.11458268107973,0.178,0.142,3.1066859783767e-24,"6530403H02Rik"
"Car2",1.06452563320199e-28,-0.201588180057078,0.193,0.229,3.38412698794912e-24,"Car2"
"Gm48678",1.18573114382471e-28,-0.128920586816032,0.449,0.484,3.76943930621876e-24,"Gm48678"
"Mir142hg",1.22721819680457e-28,0.138652871952413,0.033,0.018,3.90132664764174e-24,"Mir142hg"
"Ccnd3",1.46161916619142e-28,0.22557598285158,0.151,0.119,4.64648732932253e-24,"Ccnd3"
"Pak7",1.92399502699761e-28,-0.137518725818322,0.439,0.474,6.1163801908254e-24,"Pak7"
"Epb41l2",2.00739788801228e-28,0.236310631010545,0.135,0.105,6.38151788599104e-24,"Epb41l2"
"Phactr1",3.04592838415634e-28,-0.100924466719665,0.688,0.717,9.683006333233e-24,"Phactr1"
"Mobp",3.7202501505243e-28,-0.11440976244608,0.122,0.156,1.18266752285168e-23,"Mobp"
"Arhgap24",8.11488802665018e-28,0.245365791874414,0.087,0.063,2.57972290367209e-23,"Arhgap24"
"Pard3b",1.20212772332784e-27,0.106761034652396,0.134,0.103,3.8215640324592e-23,"Pard3b"
"Fnip2",1.3762031215819e-27,0.151300930043319,0.236,0.197,4.37494972350887e-23,"Fnip2"
"Cdk6",1.94855714066161e-27,0.138387811382423,0.052,0.033,6.19446315016324e-23,"Cdk6"
"Gm20754",2.19826517486077e-27,0.133584740178159,0.466,0.429,6.98828499088238e-23,"Gm20754"
"Ankub1",2.52498842998704e-27,-0.141021737132183,0.037,0.056,8.02693821892879e-23,"Ankub1"
"Csf1",2.56198074713767e-27,0.132760271405887,0.056,0.036,8.14453679515066e-23,"Csf1"
"Plek",3.22178014041441e-27,0.192471938111658,0.07,0.049,1.02420390663774e-22,"Plek"
"D7Ertd443e",3.67802472035894e-27,-0.158761453689128,0.129,0.161,1.16924405860211e-22,"D7Ertd443e"
"Gm11659",3.77445249041521e-27,-0.161482145216908,0.157,0.189,1.19989844670299e-22,"Gm11659"
"Golm1",5.53484788075558e-27,0.101171317300745,0.115,0.087,1.7595281412922e-22,"Golm1"
"Adipor2",8.94344024090284e-27,-0.192387396391459,0.217,0.252,2.84311965258301e-22,"Adipor2"
"Zc3hav1",9.38582917929201e-27,0.109677827035152,0.034,0.019,2.98375509609693e-22,"Zc3hav1"
"Apobec1",1.28886858250722e-26,0.17159950003538,0.024,0.012,4.09731322379046e-22,"Apobec1"
"Csf1r",1.50221546393351e-26,0.133573752108521,0.051,0.033,4.77554295984462e-22,"Csf1r"
"Gm12324",2.19252376297215e-26,-0.114449664930724,0.019,0.034,6.97003304248846e-22,"Gm12324"
"Wsb1",2.33363346986909e-26,0.121374665266857,0.165,0.133,7.41862080071385e-22,"Wsb1"
"Gria1",2.50358394059453e-26,0.105451709895106,0.627,0.607,7.95889334715002e-22,"Gria1"
"Cd37",2.92475978099989e-26,0.128521787907765,0.035,0.02,9.29781134379864e-22,"Cd37"
"Srgap2",2.96810697744023e-26,0.138983200583932,0.435,0.396,9.43561208128249e-22,"Srgap2"
"Tubb4a",3.16976506607431e-26,-0.18169980488223,0.305,0.338,1.00766831450502e-21,"Tubb4a"
"4930419G24Rik",4.10931486099436e-26,-0.185581836663198,0.345,0.375,1.30635119431011e-21,"4930419G24Rik"
"Chst11",5.34446012409296e-26,0.109123686158009,0.255,0.216,1.69900387344915e-21,"Chst11"
"Acer3",5.68165272883811e-26,0.188294817081097,0.276,0.239,1.80619740249764e-21,"Acer3"
"Plxnb3",6.75465900376546e-26,-0.132967500102117,0.033,0.052,2.14730609729704e-21,"Plxnb3"
"Tnr",7.79961634798654e-26,0.131892342446663,0.514,0.483,2.47949803702492e-21,"Tnr"
"Lhfpl2",1.0784875150178e-25,0.138776327843476,0.071,0.049,3.42851181024159e-21,"Lhfpl2"
"Shisa6",1.15678944519688e-25,0.101574292336504,0.441,0.401,3.67743364628088e-21,"Shisa6"
"Shtn1",1.18415467727941e-25,-0.173883018876059,0.346,0.376,3.76442771907124e-21,"Shtn1"
"Lyn",1.45632084989592e-25,0.167189601496319,0.23,0.194,4.62964398181913e-21,"Lyn"
"Fam102b",1.58754688432381e-25,0.173380695688415,0.078,0.056,5.0468115452654e-21,"Fam102b"
"7630403G23Rik",1.71297486612215e-25,-0.179651439982849,0.035,0.053,5.44554709940231e-21,"7630403G23Rik"
"Vsir",1.78288639482502e-25,0.125354586904695,0.03,0.017,5.66779584914873e-21,"Vsir"
"Gsap",1.91699256687353e-25,0.15495356665721,0.059,0.039,6.09411937009096e-21,"Gsap"
"Prkch",2.20173968200213e-25,0.127541623730121,0.036,0.021,6.99933044908477e-21,"Prkch"
"Synj2",2.38949933686178e-25,-0.142452386747359,0.115,0.143,7.5962183918836e-21,"Synj2"
"Unc93b1",2.48546843037245e-25,0.143740119100229,0.05,0.032,7.90130414015402e-21,"Unc93b1"
"Gm48742",3.22159635182882e-25,-0.133795317791148,0.167,0.199,1.02414548024638e-20,"Gm48742"
"Nrros",1.1488521871307e-24,0.113632278441123,0.056,0.037,3.65220110288849e-20,"Nrros"
"Cntn2",1.18991174134778e-24,-0.156085258618909,0.073,0.097,3.78272942574461e-20,"Cntn2"
"Itpr2",1.19013674327201e-24,0.144330532492931,0.116,0.09,3.78344470686172e-20,"Itpr2"
"CT010467.1",1.29479310035647e-24,-0.102429469529226,0.229,0.264,4.11614726603323e-20,"CT010467.1"
"Sat1",1.54249942099283e-24,0.150071401207333,0.084,0.061,4.90360565933619e-20,"Sat1"
"Gab1",1.59504661265286e-24,-0.160358947640522,0.13,0.16,5.07065318162345e-20,"Gab1"
"Slc25a27",2.47830203909711e-24,-0.118764741900738,0.305,0.338,7.87852218228971e-20,"Slc25a27"
"Gm26871",3.35304610971236e-24,0.130838802032904,0.477,0.449,1.06593335827756e-19,"Gm26871"
"Mt1",4.16076532036818e-24,0.118497735444174,0.145,0.115,1.32270729534504e-19,"Mt1"
"Slc1a3",4.74550346902752e-24,0.165185006464566,0.165,0.133,1.50859555280385e-19,"Slc1a3"
"Rin2",6.5574354750347e-24,0.139568898792149,0.096,0.072,2.08460873751353e-19,"Rin2"
"Adap2",6.9488648280851e-24,0.123194707757064,0.052,0.034,2.20904412884825e-19,"Adap2"
"Suclg2",7.3024449952017e-24,0.124826873257103,0.045,0.028,2.32144726397462e-19,"Suclg2"
"Hsp90aa1",1.12567700953517e-23,-0.119560570734295,0.13,0.159,3.57852721331229e-19,"Hsp90aa1"
"Siglech",1.57884532368672e-23,0.143467885295195,0.049,0.032,5.01914928400009e-19,"Siglech"
"Dock5",1.72097003724428e-23,-0.143771666204015,0.053,0.074,5.47096374839957e-19,"Dock5"
"Pls1",2.21005789733566e-23,-0.131642463890322,0.153,0.184,7.02577405563006e-19,"Pls1"
"Kif13a",2.30565615253118e-23,-0.172507872074516,0.209,0.241,7.32968090889661e-19,"Kif13a"
"Pag1",2.5740654912851e-23,0.254263603736997,0.228,0.196,8.18295419679534e-19,"Pag1"
"Ctsz",3.41867574686915e-23,0.109579933272806,0.047,0.03,1.0867970199297e-18,"Ctsz"
"Itgb5",3.63216979577567e-23,0.183563256448403,0.077,0.056,1.15466677807708e-18,"Itgb5"
"Fmnl3",4.01038221890108e-23,0.109380907019122,0.039,0.024,1.27490050738865e-18,"Fmnl3"
"Cyp7b1",5.23157348076523e-23,0.112592937378967,0.261,0.226,1.66311720953527e-18,"Cyp7b1"
"Mctp1",6.02531733988003e-23,0.110199816951968,0.481,0.449,1.91544838234786e-18,"Mctp1"
"Nfasc",7.84057082351176e-23,-0.105447988711762,0.413,0.444,2.49251746479439e-18,"Nfasc"
"Scd3",8.37214834933396e-23,-0.104335980180243,0.016,0.028,2.66150596025326e-18,"Scd3"
"Flt1",1.35523131943766e-22,0.153019200996697,0.017,0.008,4.30828036449233e-18,"Flt1"
"Anapc15",1.5278782249966e-22,0.147236307330053,0.04,0.025,4.8571248772642e-18,"Anapc15"
"Trf",1.81626704825395e-22,-0.141129459777462,0.171,0.202,5.77391294639931e-18,"Trf"
"Sipa1l2",2.10892724329264e-22,0.148621209749514,0.149,0.12,6.7042797064273e-18,"Sipa1l2"
"Tspan5",2.54446534127403e-22,-0.105461489390843,0.497,0.526,8.08885531991015e-18,"Tspan5"
"Cobll1",2.74721008690475e-22,-0.140660297261791,0.099,0.125,8.73338086627019e-18,"Cobll1"
"Nrp1",3.91173523713249e-22,0.143634394858795,0.389,0.353,1.24354063188442e-17,"Nrp1"
"Lrch1",4.98947049157039e-22,0.145623614035215,0.331,0.295,1.58615266927023e-17,"Lrch1"
