"","gene","-log10(p-value)","logFC_DAM","logFC_DroNc","FDR_DroNc"
"54","Nrp1","14.852297999999999",1.0241666444047,1.24827578974925,6.6957772478627e-185
"55","Egln3","14.717897000000001",3.94131757858981,0.599175082347237,8.46988337118184e-48
"56","Ldha","14.668672000000001",1.17155312743738,0.254823404578175,1.63646067854106e-06
"57","Cpd","14.483489000000001",1.54269960364308,0.524873189643142,6.57079739178871e-26
"58","Plekhh2","14.160446",2.16122506445156,0.852469535829331,1.90588405018407e-71
"59","Ptchd1","13.942983999999999",2.35318258291625,1.66149172770061,1.33130940815013e-257
"60","Kcnma1","13.926513999999999",2.60109924078056,0.713845004246727,2.77159563653185e-60
"61","Anxa3","13.785246000000001",1.09426811733843,0.474007099115457,5.65088749601828e-28
"62","St14","13.03721",2.30189098527278,0.427534265320623,3.26024954339361e-24
"63","Atox1","13.000835",1.24460603224835,0.255610817333392,6.84587770509489e-06
"64","Colec12","12.885081",6.71226560650329,0.636238256683161,7.06953346516778e-59
"65","Plin2","12.718897",2.35209518183147,0.418567950077218,4.39886663575606e-19
"66","Gas2l3","12.064095",3.25529120820237,0.479445464759669,6.10320465279466e-38
"67","Apbb2","11.871808",1.47561337043884,1.88616841219205,0
"68","Usp12","11.801033",1.20195630959554,0.935260242544422,6.19268750467976e-89
"69","Vps13c","11.715567",1.62150262223292,0.836396028632194,5.89380094223989e-64
"70","Gas7","11.714798",3.74664060307851,0.883076143160524,2.91660601995055e-72
"71","Scpep1","11.595931",1.18168675585014,0.330483795019895,1.58800517748146e-11
"72","Pea15a","10.914953000000001",0.801723032213717,0.286783382203627,1.0222895576405e-07
"73","Dnajb14","10.648807",1.20987825082591,0.660907226323322,2.70245263755922e-38
"74","Slc11a1","10.615397",0.884596708701072,0.336918091214846,1.08000591594243e-09
"75","Tpd52","10.442705",0.919533413692161,0.667790676792047,4.36725558920527e-42
"76","Tnfsf8","10.128833",2.57591272938345,0.955548804720246,2.88632549423244e-85
"77","Dhrs3","9.4354790000000008",0.589703126963002,0.360286690772602,3.30979303159017e-11
"78","Chst11","9.2667529999999996",1.12364951466981,0.884765726050853,2.34290700008738e-78
"79","Cybb","9.0282509999999991",2.57113402283879,0.325864433850853,7.42984076452132e-25
"80","Creb3l2","8.9680470000000003",1.11355851639278,0.428878069179293,5.66598625581252e-16
"81","St8sia6","8.8750060000000008",1.27036369292555,0.786288144647143,4.62127506224484e-61
"82","Coro2a","8.7985000000000007",1.84270011611121,0.261992679681106,7.93916449327922e-06
"83","Atf3","8.456671",1.79483827376198,0.309961001061161,2.31215566823265e-24
"84","Ldlrad3","8.3952620000000007",2.99888331489862,0.755071020906701,3.57399492431875e-69
"85","Asb10","8.2237760000000009",1.02172774563341,0.347169692996214,5.86634615963408e-23
"86","Ttyh2","8.0220880000000001",2.54201419360243,0.301538353722137,6.87357652122579e-12
"87","Atp6v1c1","7.9290289999999999",0.907373693715861,0.535758413725172,1.23969794029868e-25
"88","Cd84","7.8319650000000003",0.706097002086572,0.664781906269773,5.38538781446339e-55
"89","Ghr","7.8239489999999998",7.94664314498352,0.264255588504247,1.94026801434083e-15
"90","Gpr137c","7.8213860000000004",4.13434153366628,0.415280970493072,4.39123383834183e-23
"91","Scarb1","7.8014859999999997",0.977847486625586,0.403841390304723,3.81538861011831e-17
"92","Fblim1","7.5540310000000002",1.33877893183996,0.380465367714967,1.0561414744662e-14
"93","Prr5l","7.5156900000000002",1.89641602295234,0.305746985974062,4.15287073206381e-13
"94","Adarb1","7.3881370000000004",1.62988785252056,0.865948838235336,1.55579776291346e-66
"95","Soat1","7.2318069999999999",0.997975807761565,0.470850233595362,3.31424912241933e-19
"96","Slc2a1","7.1642720000000004",0.640829529358927,0.398704925780259,1.43005036631887e-18
