"","gene","-log10(p-value)","logFC_DAM","logFC_DroNc","FDR_DroNc"
"127","Rplp1","19.845272000000001",0.945810154561227,NA,NA
"128","Rps4x","19.706880999999999",0.988532086309921,NA,NA
"129","Gm6166","19.629114000000001",5.30068596456797,NA,NA
"130","Cxcl16","19.628229000000001",1.75697873254529,NA,NA
"131","Fam46c","19.563790999999998",1.30242580540445,NA,NA
"132","Plaur","19.467480999999999",2.41375689049871,0.697389849084031,4.7128594472919e-52
"133","Gm4604","19.460692000000002",1.08490702593516,NA,NA
"134","Rps14","19.277953",1.07314077100671,NA,NA
"135","Ifi27l2b","19.15185",1.71309145531861,NA,NA
"136","Rpl38-ps2","19.027035999999999",1.13975410450291,NA,NA
"137","Rpl12","18.821916999999999",1.27283555057649,NA,NA
"138","Rps24-ps2","18.732953999999999",2.16673148109008,NA,NA
"139","Csf2ra","18.692464999999999",1.51018694213516,0.512897203362067,1.49331287261354e-23
"140","Rps10-ps1","18.649450000000002",1.01045443738186,NA,NA
"141","Rps3","18.621585",0.913641725721771,NA,NA
"142","Sh3pxd2b","18.613474",4.04345922676225,0.292249425221492,4.06625298580046e-23
"143","Rpl18-ps1","18.548721",1.13885998398482,NA,NA
"144","Bambi","18.532803999999999",3.5362601691208,NA,NA
"145","Gm7331","18.351383999999999",0.822728852662518,NA,NA
"146","Rps25","18.286466000000001",1.10213520670323,NA,NA
"147","Gm10443","18.100255000000001",1.13951221829949,NA,NA
"148","Gm10925","18.045904",0.812716740819976,NA,NA
"149","Gm7363","18.029432",1.18610787894748,NA,NA
"150","Rpl14","18.011399000000001",0.860324758832442,NA,NA
"151","Rpl5","17.944110999999999",1.08838382786746,NA,NA
"152","AL663027.1","17.889561",1.02420740560019,NA,NA
"153","Gm15772","17.790400000000002",0.966299893904578,NA,NA
"154","Rplp0","17.758907000000001",0.992425493088413,NA,NA
"155","Ctse","17.697535999999999",5.43321682453808,0.8180690742527,5.16709529670462e-78
"156","Rps10","17.657447000000001",0.909185763146599,NA,NA
"157","Gm13192","17.622895",0.991424557320519,NA,NA
"158","Rplp2-ps1","17.580715999999999",0.909068610558129,NA,NA
"159","Rpl22","17.328199000000001",0.945871846178744,NA,NA
"160","Chst2","17.243796",4.37768290053651,NA,NA
"161","Gm4149","17.2088",0.918121902875232,NA,NA
"162","Cd83","17.132992999999999",1.24165204718144,0.591865204449377,7.97528976426379e-32
"163","Gm3511","17.007721",1.35296903064183,NA,NA
"164","Rps3a","16.801925000000001",0.975124937741918,NA,NA
"165","Gm9843","16.797944999999999",1.05103482018132,NA,NA
"166","Cox8a","16.721087000000001",1.10101721038578,NA,NA
"167","Rpl38","16.381433999999999",1.11874319639989,NA,NA
"168","Gm10073","16.338552",1.00765474329976,NA,NA
"169","Rpl14-ps1","16.261761",1.03921427543975,NA,NA
"170","Gm10186","15.878261999999999",0.84645572833031,NA,NA
"171","Rps26","15.874103",1.01734924514615,NA,NA
"172","Mpeg1","15.871892000000001",0.787675870175926,NA,NA
"173","Gm15710","15.810184",0.79660886208417,NA,NA
"174","Gm13841","15.537708",1.25224211769949,NA,NA
"175","Gm10116","15.530298",1.56504136577279,NA,NA
"176","Bhlhe40","15.509036",3.32724107940683,0.323791673156604,7.19629270837492e-17
"177","Rps13-ps1","15.417643",0.972058751044191,NA,NA
"178","Rpl39","15.314798",0.838624937963381,NA,NA
"179","Perp","15.204862",3.0941358299193,NA,NA
"180","Ctsa","15.185622",0.89302461045126,0.464600293494184,6.91144525950032e-19
"181","Acaca","15.175190000000001",3.47796767927107,1.63986093691851,1.78020934589136e-268
"182","Atp1b3","15.149986999999999",1.02605163481167,0.261857077746302,2.84844067101067e-06
"183","Gm5805","15.135448",0.947812513376864,NA,NA
"184","Inf2","14.934574",5.11927687512089,NA,NA
"185","Tpt1","14.910705999999999",0.856002733343862,NA,NA
"186","2810422J05Rik","14.905310999999999",0.827412015826026,NA,NA
"187","Rftn1","14.860412",2.39777792774095,1.41389048306307,2.14182956601245e-184
"188","Nrp1","14.852297999999999",1.0241666444047,1.24827578974925,6.6957772478627e-185
"189","Rpl37a","14.762805999999999",0.790354694656942,NA,NA
"190","Cd74","14.732146",1.90520473957925,NA,NA
"191","Egln3","14.717897000000001",3.94131757858981,0.599175082347237,8.46988337118184e-48
"192","Pgk1","14.701161000000001",2.00522012970088,NA,NA
"193","Ldha","14.668672000000001",1.17155312743738,0.254823404578175,1.63646067854106e-06
"194","Eef1b2","14.595103999999999",0.824194412889512,NA,NA
"195","Cpd","14.483489000000001",1.54269960364308,0.524873189643142,6.57079739178871e-26
"196","Gm10136","14.432731",0.945427729404817,NA,NA
"197","Creg1","14.366564",1.01398879577107,NA,NA
"198","Gm13408","14.188478",0.788541410652299,NA,NA
"199","Rps15","14.169969999999999",0.821140500939149,NA,NA
"200","Gm8759","14.161944",0.833870479610673,NA,NA
"201","Plekhh2","14.160446",2.16122506445156,0.852469535829331,1.90588405018407e-71
"202","Gm11263","14.106638",0.843237897521866,NA,NA
"203","Gm13532","14.086865",1.16555024451803,NA,NA
"204","Vat1","14.079397",2.54545960492252,NA,NA
"205","Rps16","14.031802000000001",1.05737785465857,NA,NA
"206","Gm15430","14.007667",0.816173027696411,NA,NA
"207","Pdcd1","13.954223000000001",3.26214920045157,NA,NA
"208","Ptchd1","13.942983999999999",2.35318258291625,1.66149172770061,1.33130940815013e-257
"209","Kcnma1","13.926513999999999",2.60109924078056,0.713845004246727,2.77159563653185e-60
"210","Gm5239","13.922955999999999",1.10587983711512,NA,NA
"211","Rpl13a","13.917210000000001",0.710847328669874,NA,NA
"212","Mir682","13.836724999999999",0.929268569055456,NA,NA
"213","Gm16247","13.828239999999999",1.34649732720763,NA,NA
"214","Arrdc4","13.814594",2.12225537503664,NA,NA
"215","Sdf2l1","13.797874999999999",1.48981707150809,NA,NA
"216","Anxa3","13.785246000000001",1.09426811733843,0.474007099115457,5.65088749601828e-28
"217","Rpl5-ps1","13.763885",1.85782041546462,NA,NA
"218","Rpl35a","13.760636999999999",0.870342064374339,NA,NA
"219","Gm13436","13.687334",0.836192486107936,NA,NA
"220","Gm13864","13.598425000000001",2.89340355120315,NA,NA
"221","Gm5244","13.548640000000001",0.930354625011856,NA,NA
"222","Kif1a","13.525162",4.3189614168095,NA,NA
"223","Bcl2a1d","13.521991999999999",1.42994204126573,NA,NA
"224","Gm13047","13.521438",4.80537792303514,NA,NA
"225","Ifi44","13.517714",4.27096483563844,NA,NA
"226","Gm12630","13.452994",0.880267379446108,NA,NA
"227","Plbd2","13.406995999999999",1.15968558422477,NA,NA
"228","Rpl6","13.398441",0.8194383837402,NA,NA
"229","Il18bp","13.267569",3.01790647818629,NA,NA
"230","Ssr4","13.096325999999999",0.891929479144327,NA,NA
"231","St14","13.03721",2.30189098527278,0.427534265320623,3.26024954339361e-24
"232","Atox1","13.000835",1.24460603224835,0.255610817333392,6.84587770509489e-06
"233","Rpsa-ps4","12.986682",2.17013558311556,NA,NA
"234","Atp6v0d2","12.885081",6.85798099512757,NA,NA
"235","Colec12","12.885081",6.71226560650329,0.636238256683161,7.06953346516778e-59
"236","Tcap","12.879341",5.51244075143901,NA,NA
"237","Gm15590","12.845139",1.40222668275965,NA,NA
"238","Gm13226","12.816917",1.05973821156183,NA,NA
"239","Rpl9-ps6","12.775824",0.808970121372958,NA,NA
"240","Gm11741","12.766147999999999",0.872486508617972,NA,NA
"241","Dpp7","12.758815999999999",1.49709367942623,NA,NA
"242","Plin2","12.718897",2.35209518183147,0.418567950077218,4.39886663575606e-19
"243","Nexn","12.689583000000001",3.84223890237792,NA,NA
"244","Maff","12.678977",6.05290762831329,NA,NA
"245","Rps15a","12.667742000000001",0.747260565830459,NA,NA
"246","Gm13048","12.653449",0.849660396347429,NA,NA
"247","Rps12","12.632675000000001",1.154627442286,NA,NA
"248","Gm10086","12.604775999999999",1.27064679674483,NA,NA
"249","Gm9000","12.597457",0.810708425874105,NA,NA
"250","Eef1a1","12.589903",0.95938072869538,NA,NA
"251","Tlr2","12.585720999999999",1.30469698583492,NA,NA
"252","Rpl3","12.492227",1.06064668183307,NA,NA
"253","Rps19-ps7","12.479791000000001",1.05932227564337,NA,NA
"254","Pabpc1","12.371001",0.87416188787019,NA,NA
"255","Gm11410","12.370467",0.810385062051527,NA,NA
"256","Pkm2","12.294390999999999",1.45384485942002,NA,NA
"257","Rps9","12.279584",0.681647400794983,NA,NA
"258","Tmed3","12.247446999999999",0.820418256583374,NA,NA
"259","Cd5","12.172134",4.37536415756353,NA,NA
"260","Niacr1","12.150278999999999",2.60946346257377,NA,NA
"261","AC119211.1","12.104746",0.820140886721679,NA,NA
"262","Sdf4","12.089086999999999",0.883021720182591,NA,NA
"263","Gba","12.075492000000001",0.984036156353539,NA,NA
"264","Gas2l3","12.064095",3.25529120820237,0.479445464759669,6.10320465279466e-38
"265","Gm2000","12.052909",0.858575368236872,NA,NA
"266","Cxcr4","11.956143000000001",2.55851883242679,NA,NA
"267","Gm10288","11.945911000000001",0.708426282465359,NA,NA
"268","Rpl27a","11.905231000000001",1.07856968811133,NA,NA
"269","Gm10059","11.878545000000001",0.780505954439278,NA,NA
"270","Apbb2","11.871808",1.47561337043884,1.88616841219205,0
"271","Gm6863","11.841701",0.852192261442186,NA,NA
"272","Gm13340","11.831379",0.917183033869542,NA,NA
"273","Usp12","11.801033",1.20195630959554,0.935260242544422,6.19268750467976e-89
"274","Gm6136","11.737971999999999",1.05886540771141,NA,NA
"275","Vps13c","11.715567",1.62150262223292,0.836396028632194,5.89380094223989e-64
"276","Gas7","11.714798",3.74664060307851,0.883076143160524,2.91660601995055e-72
"277","Gm2574","11.714798",3.59897119667306,NA,NA
"278","Gm12005","11.698411",1.23879975153887,NA,NA
"279","Gm11953","11.689726",3.15302369787809,NA,NA
"280","Rpl35","11.627328",0.888991568765681,NA,NA
"281","Ephx1","11.602107999999999",1.40298183895502,NA,NA
"282","Scpep1","11.595931",1.18168675585014,0.330483795019895,1.58800517748146e-11
"283","Akr1a4","11.569260999999999",0.804684579474905,NA,NA
"284","Rps19-ps11","11.543029000000001",1.23086792376367,NA,NA
"285","Gm8129","11.516579999999999",1.20913759741363,NA,NA
"286","Rpl32","11.511151999999999",0.889698956208901,NA,NA
"287","Myeov2","11.510859999999999",1.48599673699497,NA,NA
"288","Pebp1","11.450238000000001",1.20507864957627,NA,NA
"289","Gm6202","11.422371",0.935761164326346,NA,NA
"290","Ndufa6","11.407311999999999",1.12314484569453,NA,NA
"291","Tmem90a","11.361433999999999",1.87802940544072,NA,NA
"292","AC154650.1","11.356458999999999",1.15780721972727,NA,NA
"293","Rpl11","11.277404000000001",0.954774012940486,NA,NA
"294","Tspo","11.236359",1.18377243385032,NA,NA
"295","Gm14303","11.212674",0.767851106286547,NA,NA
"296","Cstb","11.099826999999999",1.33666004326881,NA,NA
"297","Rps27a","11.072528999999999",0.940182820876836,NA,NA
"298","Gm6286","11.033377",1.64653605710583,NA,NA
"299","Gm9294","10.938858",1.25204120952937,NA,NA
"300","Pea15a","10.914953000000001",0.801723032213717,0.286783382203627,1.0222895576405e-07
"301","Glb1","10.836573",1.17932485184434,NA,NA
"302","Cox4i1","10.832508000000001",0.648707983634154,NA,NA
"303","Rpl13","10.735504000000001",0.649973002892614,NA,NA
"304","Prdx1","10.72012",0.941013248670749,NA,NA
"305","Gm11478","10.664024",0.678142544041768,NA,NA
"306","Dnajb14","10.648807",1.20987825082591,0.660907226323322,2.70245263755922e-38
"307","Gm10275","10.618513999999999",1.136617442894,NA,NA
"308","Slc11a1","10.615397",0.884596708701072,0.336918091214846,1.08000591594243e-09
"309","Gm10012","10.602487",0.949766024974377,NA,NA
"310","Pgam1","10.467446000000001",1.00611352923551,NA,NA
"311","Tpd52","10.442705",0.919533413692161,0.667790676792047,4.36725558920527e-42
"312","Galk1","10.417424",2.72234288491215,NA,NA
"313","Gpr84","10.404749000000001",0.791706344066358,NA,NA
"314","Gm13826","10.377929",0.675435878972436,NA,NA
"315","AL928935.1","10.370811",0.809441879152815,NA,NA
"316","Gm9493","10.337289999999999",1.05823142736439,NA,NA
"317","Gm2a","10.328077",0.878654816966321,NA,NA
"318","Scd2","10.294138",1.03385481687767,NA,NA
"319","Gm12334","10.292738",1.2000668945727,NA,NA
"320","Gm13341","10.279085",1.09091201225394,NA,NA
"321","Ecm1","10.188933",4.0889720944907,NA,NA
"322","Tnfsf8","10.128833",2.57591272938345,0.955548804720246,2.88632549423244e-85
"323","Cd300lb","10.127188",2.70219206822147,NA,NA
"324","Fcer1g","10.123904",0.582405646420226,NA,NA
"325","Gm13196","10.106495000000001",1.77531990007817,NA,NA
"326","Gm15796","10.095761",3.94676286050195,NA,NA
"327","Rpl7","10.002755000000001",0.73840323408892,NA,NA
"328","Wbp5","9.9644499999999994",1.30339539637379,NA,NA
"329","Use1","9.9044019999999993",1.73825966077646,NA,NA
"330","Prdx4","9.8571939999999998",1.38153911099649,NA,NA
"331","Gm10260","9.7981990000000003",0.965318800740411,NA,NA
"332","Gm10159","9.7887640000000005",0.82054384038692,NA,NA
"333","Naglu","9.7535240000000005",0.761157487793821,NA,NA
"334","Gm6807","9.7127669999999995",1.27985797202633,NA,NA
"335","Ngfrap1","9.7020909999999994",1.56909592334245,NA,NA
"336","Gla","9.6734539999999996",1.44281291748589,NA,NA
"337","Rpl26-ps4","9.6074359999999999",1.330063458755,NA,NA
"338","Gsto1","9.5587009999999992",1.21497949873067,NA,NA
"339","Rpsa-ps9","9.5488780000000002",1.20360182988235,NA,NA
"340","Shisa5","9.5261130000000005",0.920570484409258,NA,NA
"341","RP24-92H14.2","9.5093759999999996",1.06280355097893,NA,NA
"342","Rps25-ps1","9.4958919999999996",0.852626535208814,NA,NA
"343","Hint1","9.4388089999999991",1.361729940886,NA,NA
"344","Dhrs3","9.4354790000000008",0.589703126963002,0.360286690772602,3.30979303159017e-11
"345","Rpl23a-ps3","9.4248410000000007",1.5058215071483,NA,NA
"346","Gnb2l1","9.4134539999999998",0.600799066579607,NA,NA
"347","Fxyd5","9.3962749999999993",1.68843258987837,NA,NA
"348","Man2b1","9.3754380000000008",0.629036479835755,NA,NA
"349","Gm11808","9.3524379999999994",0.885020378328282,NA,NA
"350","Gm7536","9.327769",1.08994907505568,NA,NA
"351","Atp5j2","9.3221329999999991",0.867909234351861,NA,NA
"352","Rps8","9.3081510000000005",0.585617476359472,NA,NA
"353","C530028O21Rik","9.2986079999999998",1.50726590560789,NA,NA
"354","Apoc1","9.2683319999999991",3.37184567840082,NA,NA
"355","Chst11","9.2667529999999996",1.12364951466981,0.884765726050853,2.34290700008738e-78
"356","Gm16379","9.2547160000000002",1.91002788449881,NA,NA
"357","Eef2","9.2522819999999992",0.604598497913929,NA,NA
"358","Rpl22l1","9.1451469999999997",0.978104897683534,NA,NA
"359","Bcl2a1a","9.0846110000000007",1.03574741127416,NA,NA
"360","Gm11942","9.081531",0.55038550489336,NA,NA
"361","Pgcp","9.0634560000000004",1.88841554572642,NA,NA
"362","Cybb","9.0282509999999991",2.57113402283879,0.325864433850853,7.42984076452132e-25
"363","Gm16288","9.0101999999999993",1.0985087211297,NA,NA
"364","Rpl10","9.0083409999999997",0.594265687609402,NA,NA
"365","Gm14044","8.9710570000000001",1.3689155749135,NA,NA
"366","Creb3l2","8.9680470000000003",1.11355851639278,0.428878069179293,5.66598625581252e-16
"367","Rps16-ps2","8.9628700000000006",1.09882870719996,NA,NA
"368","Rpl4","8.9499150000000007",0.615098799865645,NA,NA
"369","Gm6977","8.9354969999999998",2.01082059342608,NA,NA
"370","Rpl17-ps1","8.8944200000000002",1.1992566109187,NA,NA
"371","Gm15148","8.890117",0.754573470390945,NA,NA
"372","St8sia6","8.8750060000000008",1.27036369292555,0.786288144647143,4.62127506224484e-61
"373","Atp6v0e","8.8203569999999996",0.622365408568542,NA,NA
"374","Coro2a","8.7985000000000007",1.84270011611121,0.261992679681106,7.93916449327922e-06
"375","Got1","8.6789210000000008",0.999984093682535,NA,NA
"376","Rps11","8.6307220000000004",0.580394908747538,NA,NA
"377","Gm7336","8.5577129999999997",1.34469861745564,NA,NA
"378","Rpl18","8.5371640000000006",0.65236715259857,NA,NA
"379","Fau","8.5358219999999996",0.835118860405461,NA,NA
"380","Rpl34-ps1","8.5197330000000004",0.70329740107258,NA,NA
"381","Gm10294","8.51492",0.649872849203176,NA,NA
"382","Hmgn3","8.5133369999999999",1.77016868064744,NA,NA
"383","Atf3","8.456671",1.79483827376198,0.309961001061161,2.31215566823265e-24
"384","Gm7670","8.4376449999999998",2.88466828331146,NA,NA
"385","Ctss","8.4291099999999997",0.304946180225381,NA,NA
"386","Gm6252","8.4275819999999992",0.872544468528145,NA,NA
"387","Gm10036","8.4154540000000004",0.694265244310048,NA,NA
"388","Ldlrad3","8.3952620000000007",2.99888331489862,0.755071020906701,3.57399492431875e-69
"389","Gm4987","8.3891960000000001",1.50628338963136,NA,NA
"390","Gm11407","8.3133700000000008",0.965121873006654,NA,NA
"391","Mrpl54","8.2835800000000006",1.40813155044042,NA,NA
"392","Ppt1","8.2715549999999993",0.78169011679746,NA,NA
"393","Gm9396","8.227703",1.40334403718383,NA,NA
"394","Asb10","8.2237760000000009",1.02172774563341,0.347169692996214,5.86634615963408e-23
"395","Gm8805","8.1750779999999992",1.12226020500657,NA,NA
"396","Pfdn5","8.0656289999999995",0.604879027890678,NA,NA
"397","Bri3bp","8.0451270000000008",1.71298447625684,NA,NA
"398","Rnaset2a","8.0412199999999991",0.533664791796344,NA,NA
"399","Fuca1","8.0221079999999994",0.614943009404154,NA,NA
"400","Ttyh2","8.0220880000000001",2.54201419360243,0.301538353722137,6.87357652122579e-12
"401","Gm15501","8.0056670000000008",0.795718963601749,NA,NA
"402","Ndufs6","7.9648899999999996",1.19612555782208,NA,NA
"403","Tmem205","7.9521139999999999",2.41550805915284,NA,NA
"404","0610031J06Rik","7.9507760000000003",0.758890997913205,NA,NA
"405","AI607873","7.9445610000000002",3.73449968237642,NA,NA
