"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mical3.1",0,-0.554822529352305,0.064,0.416,0,"Microglia","Mical3"
"Agpat4.2",0,-0.555320848546377,0.029,0.278,0,"Microglia","Agpat4"
"Reep1.3",0,-0.556173528452783,0.015,0.294,0,"Microglia","Reep1"
"Pgbd5.4",0,-0.556532639257648,0.021,0.289,0,"Microglia","Pgbd5"
"Slc24a5.2",0,-0.557058551432721,0.044,0.379,0,"Microglia","Slc24a5"
"Syt14.2",0,-0.557935463130506,0.007,0.264,0,"Microglia","Syt14"
"Ncoa7.3",0,-0.559189613899822,0.047,0.387,0,"Microglia","Ncoa7"
"Elavl2.3",0,-0.559350782665004,0.016,0.222,0,"Microglia","Elavl2"
"Adk.2",0,-0.559476930580975,0.052,0.333,0,"Microglia","Adk"
"Atp2b3.4",0,-0.562015010581873,0.014,0.286,0,"Microglia","Atp2b3"
"4930570B17Rik.3",0,-0.563034885492302,0.001,0.216,0,"Microglia","4930570B17Rik"
"Fry.5",0,-0.563304194279522,0.161,0.592,0,"Microglia","Fry"
"Galnt16.4",0,-0.565129838616377,0.031,0.317,0,"Microglia","Galnt16"
"Asxl3.2",0,-0.565396250339023,0.005,0.201,0,"Microglia","Asxl3"
"Sv2b.5",0,-0.565710439218195,0.03,0.262,0,"Microglia","Sv2b"
"Kcna1.4",0,-0.565864535262441,0.025,0.23,0,"Microglia","Kcna1"
"Kif1a.1",0,-0.566460018625055,0.028,0.321,0,"Microglia","Kif1a"
"Rapgef4os1.4",0,-0.566504036983158,0.002,0.226,0,"Microglia","Rapgef4os1"
"Pla2g3.2",0,-0.567363656482459,0.004,0.196,0,"Microglia","Pla2g3"
"Camta1.4",0,-0.567990468407438,0.112,0.531,0,"Microglia","Camta1"
"Gm32250.3",0,-0.568737928136294,0.041,0.383,0,"Microglia","Gm32250"
"Pknox2.3",0,-0.5693928777689,0.006,0.232,0,"Microglia","Pknox2"
"Gm21954.4",0,-0.56942585842383,0.007,0.245,0,"Microglia","Gm21954"
"Wasf1.4",0,-0.570755741771119,0.061,0.414,0,"Microglia","Wasf1"
"Npas2.3",0,-0.575680381890593,0.002,0.207,0,"Microglia","Npas2"
"Tgfbr3.4",0,-0.576170353467481,0.005,0.225,0,"Microglia","Tgfbr3"
"Mir124a-1hg.4",0,-0.576418617413738,0.026,0.35,0,"Microglia","Mir124a-1hg"
"Arhgef9.2",0,-0.578812210307328,0.037,0.37,0,"Microglia","Arhgef9"
"Lrrc8b.3",0,-0.579752619871152,0.019,0.244,0,"Microglia","Lrrc8b"
"Svop.3",0,-0.580800332319952,0.017,0.315,0,"Microglia","Svop"
"Clvs2.3",0,-0.580869633555366,0.013,0.279,0,"Microglia","Clvs2"
"Atp2b2.2",0,-0.582004519661259,0.083,0.475,0,"Microglia","Atp2b2"
"Kif5c.4",0,-0.5820477120519,0.027,0.349,0,"Microglia","Kif5c"
"Snph.2",0,-0.582758392836603,0.026,0.348,0,"Microglia","Snph"
"Arnt2.3",0,-0.584066666425438,0.034,0.297,0,"Microglia","Arnt2"
"Gm48512.2",0,-0.584242445886221,0.025,0.295,0,"Microglia","Gm48512"
"Epb41l1.4",0,-0.585771524678935,0.016,0.294,0,"Microglia","Epb41l1"
"A930017M01Rik.2",0,-0.587193652223854,0.007,0.233,0,"Microglia","A930017M01Rik"
"Pde8b.3",0,-0.587275835247743,0.056,0.378,0,"Microglia","Pde8b"
"Tmtc1.4",0,-0.587400940113976,0.007,0.235,0,"Microglia","Tmtc1"
"Trank1.4",0,-0.588947491962623,0.02,0.335,0,"Microglia","Trank1"
"Lmo7.5",0,-0.589471174541326,0.014,0.28,0,"Microglia","Lmo7"
"Arfgef3.3",0,-0.589950930961767,0.019,0.319,0,"Microglia","Arfgef3"
"Itsn1.1",0,-0.590888762747247,0.041,0.377,0,"Microglia","Itsn1"
"Rasal2.3",0,-0.593336729539729,0.173,0.595,0,"Microglia","Rasal2"
"Afdn.1",0,-0.59485754151378,0.059,0.43,0,"Microglia","Afdn"
"Pdzd4.3",0,-0.597233852762762,0.022,0.341,0,"Microglia","Pdzd4"
"Sh3rf1.3",0,-0.597349120125037,0.022,0.279,0,"Microglia","Sh3rf1"
"Syt7.4",0,-0.598809009421271,0.028,0.339,0,"Microglia","Syt7"
"Ankrd33b.5",0,-0.603637003739784,0.01,0.259,0,"Microglia","Ankrd33b"
"Strbp.2",0,-0.604187588465624,0.271,0.745,0,"Microglia","Strbp"
"Gphn.3",0,-0.605174510536965,0.299,0.787,0,"Microglia","Gphn"
"Kcnh1.4",0,-0.605397078328736,0.008,0.262,0,"Microglia","Kcnh1"
"Trpc1.1",0,-0.605587758194296,0.01,0.265,0,"Microglia","Trpc1"
"Crppa.2",0,-0.605595418158604,0.009,0.208,0,"Microglia","Crppa"
"Cacng8.3",0,-0.605615133143443,0.012,0.295,0,"Microglia","Cacng8"
"Pcsk5.4",0,-0.60856372435291,0.008,0.21,0,"Microglia","Pcsk5"
"A230103L15Rik.5",0,-0.609133300829095,0.003,0.281,0,"Microglia","A230103L15Rik"
"Tmeff1.4",0,-0.613040620055881,0.018,0.224,0,"Microglia","Tmeff1"
"Adamts17.4",0,-0.613360824911515,0.007,0.236,0,"Microglia","Adamts17"
"Ctdspl.1",0,-0.613502905826421,0.017,0.287,0,"Microglia","Ctdspl"
"Dbn1.4",0,-0.616848874879642,0.016,0.328,0,"Microglia","Dbn1"
"Trpc4.5",0,-0.616988612167896,0.022,0.306,0,"Microglia","Trpc4"
"Csgalnact1.4",0,-0.618148045388774,0.008,0.208,0,"Microglia","Csgalnact1"
"Slc25a27.3",0,-0.61896870164399,0.036,0.339,0,"Microglia","Slc25a27"
"Gm11659.4",0,-0.619694684522757,0.001,0.186,0,"Microglia","Gm11659"
"Ror1.5",0,-0.623257794232363,0.004,0.202,0,"Microglia","Ror1"
"Lgi1.3",0,-0.625193311285797,0.027,0.334,0,"Microglia","Lgi1"
"Arhgap21.1",0,-0.625248185371418,0.056,0.41,0,"Microglia","Arhgap21"
"Flrt2.3",0,-0.625840229896944,0.011,0.252,0,"Microglia","Flrt2"
"A830082K12Rik.3",0,-0.626184732440471,0.015,0.287,0,"Microglia","A830082K12Rik"
"Rev3l.2",0,-0.626602707394753,0.079,0.475,0,"Microglia","Rev3l"
"Nyap2.3",0,-0.628700175776287,0.009,0.252,0,"Microglia","Nyap2"
"Gm47271.3",0,-0.628794461879594,0.01,0.211,0,"Microglia","Gm47271"
"Susd4.4",0,-0.629060202668337,0.015,0.319,0,"Microglia","Susd4"
"Dapk1.3",0,-0.630403477137882,0.059,0.424,0,"Microglia","Dapk1"
"Ndst3.4",0,-0.633638971128259,0.011,0.211,0,"Microglia","Ndst3"
"Hdgfl3.3",0,-0.635378923959033,0.021,0.321,0,"Microglia","Hdgfl3"
"Gm41609.3",0,-0.639279476310418,0.005,0.286,0,"Microglia","Gm41609"
